family,matrix,nv,ne,kind,ac_build_s,ac_solve_s,ac_tot_s,ac_its,ac_err,ac_fail,ac-s2m2_build_s,ac-s2m2_solve_s,ac-s2m2_tot_s,ac-s2m2_its,ac-s2m2_err,ac-s2m2_fail,cmg-v_build_s,cmg-v_solve_s,cmg-v_tot_s,cmg-v_its,cmg-v_err,cmg-v_fail,cmg-k_build_s,cmg-k_solve_s,cmg-k_tot_s,cmg-k_its,cmg-k_err,cmg-k_fail,cmg-k-elim_build_s,cmg-k-elim_solve_s,cmg-k-elim_tot_s,cmg-k-elim_its,cmg-k-elim_err,cmg-k-elim_fail
uniform_grid,uniform_grid_sddm(2.0e6),287496,1986336,sddm,0.922488,0.292653,1.21514,23,7.44054e-09,0,2.1592,0.273505,2.43271,18,8.42896e-09,0,0.113521,0.536146,0.649667,27,6.37156e-09,0,0.121736,0.412676,0.534412,28,6.70312e-09,0,0.121385,0.413859,0.535244,28,6.70312e-09,0
uniform_grid,uniform_grid_sddm(2.0e7),2863288,19922032,sddm,10.7409,6.40936,17.1503,25,6.7907e-09,0,21.6596,4.47754,26.1372,19,7.65504e-09,0,1.64149,6.11355,7.75503,27,9.17786e-09,0,1.79587,4.85531,6.65118,29,5.93936e-09,0,1.60162,4.86099,6.46261,29,5.93936e-09,0
uniform_grid,uniform_grid_sddm(2.0e8),28652616,200006496,sddm,127.336,77.7524,205.089,26,9.65257e-09,0,339.587,109.707,449.294,20,9.2969e-09,0,13.9239,77.5652,91.4891,27,9.1196e-09,0,15.3225,54.9312,70.2537,28,8.96787e-09,0,16.614,59.5815,76.1954,28,8.96787e-09,0
aniso,"aniso_grid_sddm(2.0e8,0.001)",29563243,203126167,sddm,93.8838,67.7153,161.599,27,8.04321e-09,0,253.961,73.9328,327.893,20,5.90474e-09,0,13.4844,58.3833,71.8677,25,9.227e-09,0,14.164,49.3782,63.5421,26,9.20164e-09,0,16.1127,54.6466,70.7593,26,9.20164e-09,0
aniso,"aniso_grid_sddm(2.0e8,0.01)",28775736,199677456,sddm,118.227,89.0046,207.232,26,8.69348e-09,0,258.332,73.0959,331.428,20,6.76091e-09,0,12.9072,56.008,68.9153,26,6.76798e-09,0,13.545,46.6212,60.1662,27,7.67702e-09,0,13.6497,45.5178,59.1675,27,7.67702e-09,0
aniso,"aniso_grid_sddm(2.0e8,0.1)",28653044,199723852,sddm,112.496,75.5143,188.011,28,6.00055e-09,0,244.705,78.5951,323.3,20,8.8894e-09,0,12.6963,60.3622,73.0585,26,7.66608e-09,0,13.4333,46.1408,59.574,27,8.59665e-09,0,13.4438,46.3447,59.7885,27,8.59665e-09,0
aniso,"aniso_grid_sddm(2.0e8,1.0)",28652616,200006496,sddm,114.31,74.135,188.445,27,6.79619e-09,0,253.533,80.2366,333.77,20,5.69479e-09,0,13.5317,65.0082,78.5399,28,6.2834e-09,0,14.4561,59.6773,74.1334,32,1.93738e-09,0,14.3347,58.3522,72.6868,32,1.93738e-09,0
aniso,"aniso_grid_sddm(2.0e8,10.0)",28749600,200201760,sddm,115.723,75.0371,190.76,27,5.78239e-09,0,253.082,79.3769,332.459,20,6.41166e-09,0,13.97,78.2399,92.2099,28,7.08304e-09,0,14.5691,53.896,68.4651,31,4.55583e-09,0,14.6892,52.3656,67.0548,31,4.55583e-09,0
aniso,"aniso_grid_sddm(2.0e8,100.0)",28588574,195955912,sddm,101.431,66.9072,168.338,26,6.16438e-09,0,226.169,69.1411,295.31,20,5.19234e-09,0,13.7779,61.7529,75.5308,28,6.38798e-09,0,14.3686,52.2417,66.6104,32,6.00045e-09,0,14.649,50.6463,65.2953,32,6.00045e-09,0
aniso,"aniso_grid_sddm(2.0e8,1000.0)",29881008,189208512,sddm,72.1868,44.5556,116.742,23,5.96065e-09,0,146.306,43.0967,189.403,18,5.25591e-09,0,13.3843,34.1724,47.5567,17,7.396e-09,0,13.7759,23.6846,37.4604,18,5.39039e-09,0,14.0568,22.3509,36.4077,18,5.39039e-09,0
wgrid,"wgrid_sddm(2.0e8, 0.001)",28652616,200006496,sddm,102.736,120.751,223.487,38,7.73045e-09,0,244.27,108.836,353.106,26,6.87791e-09,0,16.0912,63.1104,79.2016,28,6.3801e-09,0,16.7127,51.147,67.8597,26,5.42668e-09,0,18.9728,59.9173,78.8901,26,5.42668e-09,0
wgrid,"wgrid_sddm(2.0e8, 0.01)",28652616,200006496,sddm,148.509,94.9499,243.458,33,9.4325e-09,0,291.423,86.2533,377.677,23,8.96504e-09,0,16.2183,54.0538,70.2721,27,8.3647e-09,0,14.886,49.3546,64.2406,27,4.71198e-09,0,17.045,51.332,68.377,27,4.71198e-09,0
wgrid,"wgrid_sddm(2.0e8, 0.1)",28652616,200006496,sddm,127.602,96.471,224.073,26,7.46745e-09,0,296.076,93.8766,389.952,20,6.34896e-09,0,16.4516,56.7031,73.1547,27,8.03803e-09,0,16.3686,51.0515,67.42,26,5.67386e-09,0,15.5805,45.4039,60.9844,26,5.67386e-09,0
wgrid,"wgrid_sddm(2.0e8, 1.0)",28652616,200006496,sddm,136.84,94.1593,230.999,27,5.93317e-09,0,305.161,98.3932,403.554,20,9.18437e-09,0,14.2845,73.5173,87.8018,28,5.75817e-09,0,15.3294,52.4781,67.8075,28,9.85062e-09,0,17.2249,59.1721,76.397,28,9.85062e-09,0
wgrid,"wgrid_sddm(2.0e8, 10.0)",28652616,200006496,sddm,107.114,55.5467,162.661,20,7.67876e-09,0,270.88,66.7028,337.583,15,4.86588e-09,0,17.4073,111.44,128.847,31,7.51833e-09,0,15.9303,65.0625,80.9928,26,7.46958e-09,0,16.4825,69.2476,85.7301,26,7.46958e-09,0
wgrid,"wgrid_sddm(2.0e8, 100.0)",28652616,200006496,sddm,91.7631,41.2946,133.058,17,5.96649e-09,0,175.088,41.9364,217.024,12,7.45013e-09,0,14.703,72.4236,87.1265,30,6.694e-09,0,15.3892,46.0376,61.4268,26,6.9951e-09,0,18.0172,46.4835,64.5007,26,6.9951e-09,0
wgrid,"wgrid_sddm(2.0e8, 1000.0)",28652616,200006496,sddm,100.269,36.3324,136.602,15,5.39532e-09,0,180.421,32.585,213.006,10,9.49497e-09,0,14.3995,72.0528,86.4523,30,9.08978e-09,0,16.4579,65.1722,81.6301,28,6.57579e-09,0,14.6281,52.2567,66.8848,28,6.57579e-09,0
checkered,"checkered_grid_sddm(2.0e8, 2, 2, 2, 1.0e7)",28652616,200006496,sddm,102.195,142.698,244.893,40,9.80426e-09,0,289.174,176.424,465.598,30,9.67481e-09,0,15.7593,70.9026,86.6619,30,7.10561e-09,0,18.6298,77.7288,96.3586,34,1.94075e-09,0,15.5541,59.0225,74.5766,34,1.94075e-09,0
checkered,"checkered_grid_sddm(2.0e8, 4, 4, 4, 1.0e7)",28652616,200006496,sddm,124.164,135.047,259.211,45,8.92596e-09,0,340.554,174.808,515.362,35,6.58412e-09,0,16.5604,64.6691,81.2295,28,7.35198e-09,0,15.3704,60.9621,76.3325,30,7.33024e-09,0,16.3964,62.387,78.7834,30,7.33024e-09,0
checkered,"checkered_grid_sddm(2.0e8, 8, 8, 8, 1.0e7)",28652616,200006496,sddm,144.211,194.134,338.345,52,9.50816e-09,0,302.301,193.083,495.384,39,9.01855e-09,0,19.8417,54.0059,73.8475,26,9.16899e-09,0,16.9267,50.3866,67.3133,27,8.54105e-09,0,24.2157,54.8793,79.095,27,8.54105e-09,0
checkered,"checkered_grid_sddm(2.0e8, 16, 16, 16, 1.0e7)",28652616,200006496,sddm,143.498,191.463,334.961,53,9.19957e-09,0,299.261,204.047,503.308,42,7.52631e-09,0,18.8161,68.7763,87.5924,28,9.69025e-09,0,20.2757,65.4411,85.7168,29,6.53832e-09,0,19.0149,68.2713,87.2862,29,6.53832e-09,0
checkered,"checkered_grid_sddm(2.0e8, 32, 32, 32, 1.0e7)",28652616,200006496,sddm,127.022,162.731,289.753,56,8.27632e-09,0,293.709,191.402,485.111,44,8.57113e-09,0,15.415,59.901,75.3161,28,7.14946e-09,0,17.5296,53.6217,71.1513,29,6.3239e-09,0,18.6226,70.1707,88.7933,29,6.3239e-09,0
checkered,"checkered_grid_sddm(2.0e8, 64, 64, 64, 1.0e7)",28652616,200006496,sddm,119.866,165.904,285.771,62,8.19947e-09,0,215.849,162.079,377.928,46,7.59736e-09,0,14.4994,50.3304,64.8299,25,6.70818e-09,0,15.2564,40.1223,55.3787,25,8.64075e-09,0,15.4265,39.9964,55.4228,25,8.64075e-09,0
checkered,"checkered_grid_sddm(2.0e8, 128, 128, 128, 1.0e7)",28652616,200006496,sddm,89.6186,122.368,211.987,53,9.22544e-09,0,203.717,102.01,305.726,33,8.87684e-09,0,14.8651,48.4972,63.3623,28,9.74701e-09,0,15.4872,32.5629,48.0501,20,5.80684e-09,0,15.8703,32.6275,48.4978,20,5.80684e-09,0
sachdeva_star,"star_join(complete_graph(100), 50)",5001,500101,lap,0.084475,0.101535,0.18601,89,9.34579e-09,0,0.173274,0.029002,0.202276,27,6.21783e-09,0,0.0389981,0.034076,0.0730741,7,1.10825e-11,0,1.24053,0.0471761,1.28771,7,8.45069e-09,0,0.0438099,0.046839,0.0906489,7,8.45069e-09,0
