file	testName	solver	runs	failures	med_build_s	med_solve_s	med_tot_s	med_its	max_err
aniso.paper.seed1.reps3.jld2	aniso_grid_sddm(2.0e8,0.001)	ac	3	0	135.11077213287354	94.48744511604309	229.59821724891663	26.0	7.958972615530935e-9
aniso.paper.seed1.reps3.jld2	aniso_grid_sddm(2.0e8,0.001)	ac-s2m2	3	0	343.0035469532013	94.94589304924011	437.9494400024414	20.0	6.5639087951757586e-9
aniso.paper.seed1.reps3.jld2	aniso_grid_sddm(2.0e8,0.001)	cmg-k	3	0	37.08536100387573	105.37970519065857	142.90190815925598	26.0	9.170149791072473e-9
aniso.paper.seed1.reps3.jld2	aniso_grid_sddm(2.0e8,0.001)	cmg-v	3	0	16.01677393913269	60.07871913909912	76.087247133255	25.0	9.18382343695385e-9
aniso.paper.seed1.reps3.jld2	aniso_grid_sddm(2.0e8,0.01)	ac	3	0	99.04112100601196	66.43522095680237	165.50977396965027	26.0	9.469720408394103e-9
aniso.paper.seed1.reps3.jld2	aniso_grid_sddm(2.0e8,0.01)	ac-s2m2	3	0	249.09770607948303	73.91898393630981	323.01669001579285	20.0	8.919870778628282e-9
aniso.paper.seed1.reps3.jld2	aniso_grid_sddm(2.0e8,0.01)	cmg-k	3	0	16.10600781440735	51.46198892593384	67.56799674034119	27.0	8.335627917148796e-9
aniso.paper.seed1.reps3.jld2	aniso_grid_sddm(2.0e8,0.01)	cmg-v	3	0	15.561538934707642	62.93886613845825	78.50892281532288	26.0	7.910886783244273e-9
aniso.paper.seed1.reps3.jld2	aniso_grid_sddm(2.0e8,0.1)	ac	3	0	103.06629204750061	72.86031603813171	175.74327778816223	27.0	9.292576868641666e-9
aniso.paper.seed1.reps3.jld2	aniso_grid_sddm(2.0e8,0.1)	ac-s2m2	3	0	265.349112033844	79.69691205024719	345.0460240840912	20.0	7.52253526481113e-9
aniso.paper.seed1.reps3.jld2	aniso_grid_sddm(2.0e8,0.1)	cmg-k	3	0	15.735196113586426	51.72119498252869	67.32403802871704	27.0	8.47380413685947e-9
aniso.paper.seed1.reps3.jld2	aniso_grid_sddm(2.0e8,0.1)	cmg-v	3	0	15.215188026428223	66.09341287612915	81.30860090255737	26.0	7.793609968792717e-9
aniso.paper.seed1.reps3.jld2	aniso_grid_sddm(2.0e8,1.0)	ac	3	0	113.88539791107178	75.50602698326111	189.35674691200256	27.0	7.917095704121062e-9
